league,season,position,team,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2019,15,Eibar,Eibar,38,11.0,9.0,18.0,39.0,56.0,42.0,42.34516200000001,3.345162000000009,34.751985,54.332816,-1.667183999999999,49.7158455,-14.963860500000003,8.973649108251534,9.55497742436619,141.0,197.0,42.907000000000004,0.9070000000000036
La_liga,2019,16,Osasuna,Osasuna,38,13.0,13.0,12.0,46.0,54.0,52.0,49.038488,3.038488000000001,43.092265,49.58045100000001,-4.419548999999989,45.86407100000001,-2.7718059999999998,9.09790807709116,8.50695229418231,197.0,191.0,51.50969999999999,-0.49030000000001195
La_liga,2019,17,Alaves,Alaves,38,10.0,9.0,19.0,34.0,59.0,39.0,38.14706149999999,4.147061499999992,33.687779500000005,57.929676,-1.0703239999999994,46.780882999999996,-13.093103500000002,12.210774984466122,7.770151796992162,130.0,220.0,40.97700000000001,1.977000000000011
La_liga,2019,18,Leganes,Leganes,38,8.0,12.0,18.0,30.0,51.0,36.0,38.92184600000001,8.92184600000001,35.149078,45.620589,-5.3794109999999975,40.4179,-5.268822,10.913983978351656,7.726034426609586,158.0,166.0,48.919000000000004,12.919000000000004
La_liga,2019,19,Real Valladolid,Real Valladolid,38,9.0,15.0,14.0,32.0,43.0,42.0,35.657757999999994,3.657757999999994,31.041552999999993,53.937653999999995,10.937653999999995,47.99142499999999,-16.949871999999996,12.394396649501953,8.319263140191401,109.0,226.0,39.38280000000001,-2.6171999999999898
La_liga,2019,20,Mallorca,Mallorca,38,9.0,6.0,23.0,40.0,65.0,33.0,40.45631040000001,0.45631040000000667,33.0235288,65.170307,0.170306999999994,53.278525,-20.254996200000004,12.742765764593921,7.6196220417543215,131.0,309.0,35.3568,2.3568
La_liga,2015,1,Malaga,Malaga,38,12.0,12.0,14.0,38.0,35.0,48.0,45.75188399999999,7.75188399999999,42.77877099999999,45.25460600000001,10.25460600000001,43.76818,-0.9894089999999983,7.83013294058133,7.261826846638328,196.0,191.0,53.0801,5.080100000000002
La_liga,2015,2,Sevilla,Sevilla,38,14.0,10.0,14.0,51.0,50.0,52.0,62.970634,11.970633999999997,57.76783,46.088285600000006,-3.911714399999994,43.85844560000001,13.909384400000002,8.600500029023522,8.957717525987354,296.0,216.0,63.63629999999999,11.636299999999991
La_liga,2015,3,Deportivo La Coruna,Deportivo La Coruna,38,8.0,18.0,12.0,45.0,61.0,42.0,43.74708699999999,-1.2529130000000066,43.00381399999999,52.374036999999994,-8.625963000000006,49.400918999999995,-6.397104999999999,11.324321016787865,8.739138471099283,166.0,240.0,46.07909999999998,4.079099999999983
La_liga,2015,4,Real Sociedad,Real Sociedad,38,13.0,9.0,16.0,45.0,48.0,48.0,47.947143999999994,2.9471439999999944,47.203863999999996,48.036505,0.03650499999999823,42.822658000000004,4.381206,8.157426954128177,9.268504881207775,185.0,183.0,52.75030000000001,4.75030000000001
La_liga,2015,5,Espanyol,Espanyol,38,12.0,7.0,19.0,40.0,74.0,43.0,46.091860000000004,6.091860000000004,43.86202200000001,60.842278,-13.157722,56.382991000000004,-12.520969000000001,8.504199708180982,7.50859744963642,186.0,219.0,43.1508,0.15079999999999671
La_liga,2015,6,Getafe,Getafe,38,9.0,9.0,20.0,37.0,67.0,36.0,41.773185999999995,4.7731859999999955,40.286629,63.348645,-3.6513550000000023,55.775808,-15.489179,9.866715449685875,7.230706595147382,159.0,229.0,40.87899999999999,4.878999999999991
La_liga,2015,7,Atletico Madrid,Atletico Madrid,38,28.0,4.0,6.0,63.0,18.0,88.0,54.92736500000001,-8.072634999999991,53.44093500000001,27.797051999999997,9.797051999999997,27.053774,26.387161,8.834883908940133,9.045123902718023,261.0,170.0,72.2803,-15.719700000000003
La_liga,2015,8,Las Palmas,Las Palmas,38,12.0,8.0,18.0,45.0,53.0,44.0,38.676393000000004,-6.3236069999999955,34.94910300000001,59.23681529999999,6.236815299999989,56.26372229999999,-21.314619300000004,10.079552235791619,8.927858357891038,228.0,250.0,41.17930000000001,-2.820699999999988
La_liga,2015,9,Rayo Vallecano,Rayo Vallecano,38,9.0,11.0,18.0,52.0,73.0,38.0,52.2594408,0.25944080000000014,49.8896658,65.08895700000001,-7.911042999999992,58.399829,-8.510163200000001,6.963565825291231,9.270395219273048,157.0,240.0,45.7753,7.775300000000001
La_liga,2015,10,Valencia,Valencia,38,11.0,11.0,16.0,46.0,48.0,44.0,50.508099,4.508099000000001,46.636374999999994,61.685717000000004,13.685717000000004,58.586166000000006,-11.949791,9.061171747361184,7.278318840048795,203.0,250.0,46.72509999999999,2.7250999999999905
La_liga,2015,11,Athletic Club,Athletic Club,38,18.0,8.0,12.0,58.0,45.0,62.0,53.896614,-4.103386,50.039775000000006,45.326224,0.3262240000000034,40.123397000000004,9.916378000000002,8.1123201064645,9.674713458534475,221.0,174.0,58.23810000000002,-3.761899999999983
